cultivo,variable,condicion,umbral_min,umbral_max,nivel,icono,titulo,recomendacion,fuente
Maiz,temperatura,muy_alto,32.0,,critica,,Estrés térmico en floración,"Si el maíz está en etapa VT (espigas) o R1 (seda), el calor extremo quema el polen y reduce el llenado de grano. Riega de inmediato y aplica riego de auxilio. El daño puede ser irreversible si dura más de 3 días.",CIMMYT 2021
Maiz,temperatura,alto,28.0,,advertencia,,Calor moderado: riesgo en llenado de grano,"Temperaturas altas reducen la viabilidad del polen. Riega en las primeras horas de la mañana. Si usas riego por aspersión, no riegues al mediodía para evitar quemar las hojas.",CIMMYT 2021
Maiz,temperatura,muy_bajo,,15.0,critica,,Riesgo de helada en germinación,El frío puede matar las plántulas de maíz recién emergidas. Cubre las hileras con paja o plástico delgado antes de que anochezca. Usa variedades tolerantes al frío como ICTA HB-17TMA si siembras en el altiplano.,ICTA Guatemala
Maiz,precipitacion,muy_bajo,,40.0,critica,,Sequía urgente en maíz,"Riega tu parcela de maíz hoy. Sin agua, las plantas se marchitan en 24-48 horas especialmente en etapa de floración. Aplica al menos 40 mm de riego si tienes sistema de irrigación.",FAO Guatemala
Maiz,precipitacion,alto,90.0,,advertencia,,Encharcamiento: riesgo de pudrición de raíz,"Demasiada lluvia puede ahogar las raíces del maíz. Limpia los canales de drenaje entre los surcos para que el agua escurra rápido. Si el suelo está saturado más de 48 horas, hay riesgo de pudrición.",ICTA Guatemala
Maiz,humedad,alto,75.0,,advertencia,,Riesgo de achaparramiento del maíz,"Con humedad alta y temperaturas cálidas, el achaparramiento (causado por fitoplasma transmitido por chicharritas) puede afectar tus plantas. Busca plantas amarillas y achaparradas, retíralas del campo para evitar contagio.",ICTA Guatemala
Maiz,ph_suelo,muy_bajo,,5.5,advertencia,,pH ácido bloquea fósforo y zinc,"El pH bajo impide que el maíz absorba fósforo y zinc, causando hojas moradas o amarillas. Aplica cal dolomítica agrícola (2-3 kg por cuerda) al menos 30 días antes de la siembra o fertilización.",ICTA Guatemala
Maiz,plaga,cualquiera,,,critica,,Monitoreo de gusano cogollero (Spodoptera frugiperda),"Revisa el cogollo (corazón) de cada planta. Si ves polvo café, agujeros en espiral o larvas, hay gusano cogollero. Aplica Bacillus thuringiensis (Bt) por la tarde. Si el daño supera el 25% de las plantas, usa insecticida de contacto autorizado.",CIMMYT / CABI 2022
Maiz,general,cualquiera,,,info,,Control de malezas crítico primeros 30 días,"Las malezas compiten fuertemente con el maíz durante los primeros 30 días. Realiza la primera limpia a los 15 días y la segunda a los 30. Después de ese periodo, el maíz ya sombrea las malezas solo.",ICTA Guatemala
Frijol,humedad,muy_alto,80.0,,critica,,Roya y antracnosis: condiciones críticas,Humedad muy alta favorece la roya (Uromyces appendiculatus) y la antracnosis. Busca pústulas anaranjadas en el envés de las hojas o manchas oscuras en vainas. Aplica fungicida cúprico preventivo. No entres a la parcela cuando las plantas estén mojadas para no esparcir esporas.,ICTA Guatemala / FAO
Frijol,humedad,alto,70.0,,advertencia,,Vigilancia de roya del frijol,Con esta humedad hay condiciones para que aparezca roya. Revisa el envés de las hojas 3 veces por semana buscando polvo anaranjado. Aplica fungicida si encuentras más de 10% de hojas afectadas.,ICTA Guatemala
Frijol,temperatura,muy_alto,30.0,,advertencia,,Mosca blanca en condiciones secas y calurosas,"Calor con baja humedad favorece a la mosca blanca (Bemisia tabaci y Trialeurodes vaporariorum), que transmite el mosaico dorado amarillo del frijol (BGMV). Revisa el envés de las hojas. Aplica aceite de neem o insecticida sistémico si encuentras colonias.",ICTA Guatemala
Frijol,precipitacion,muy_alto,85.0,,advertencia,,Lluvia excesiva: pudrición en cuello,Con demasiada lluvia el frijol puede sufrir pudrición del cuello y raíz. Asegura que el agua drene bien entre los surcos. Reduce el riego suplementario si lo tienes.,FAO
Frijol,ph_suelo,muy_bajo,,5.5,advertencia,,pH ácido inhibe nódulos de Rhizobium,"Con pH bajo, las bacterias del suelo que fijan nitrógeno (Rhizobium) no pueden formar nódulos en las raíces. Aplica cal agrícola y reinocula las semillas con Rhizobium en el siguiente ciclo para recuperar la fertilidad natural.",ICTA Guatemala
Frijol,plaga,cualquiera,,,info,,Babosas nocturnas: daño en plántulas,"En noches húmedas y frescas, las babosas cortan plántulas y hojas jóvenes. Revisa la parcela al amanecer buscando rastros de baba brillante. Coloca cebos de metaldehído al pie de las plantas si confirmas daño.",MAGA Guatemala
Frijol,general,cualquiera,,,info,,Soporte para frijol voluble (en guía),"Si cultivas frijol voluble, revisa que los tutores (palos o cañas) estén firmes y que las ramas no toquen el suelo húmedo. El contacto con suelo mojado favorece enfermedades fungosas en vainas y hojas.",ICTA Guatemala
Frijol,general,cualquiera,,,info,,Mejora ventilación para reducir enfermedades,"Usa riego por surcos en lugar de aspersión para mantener el follaje seco. No trabajes en la parcela cuando las plantas están mojadas, ya que puedes esparcir hongos entre plantas sanas.",FAO
Cafe,humedad,muy_alto,80.0,,critica,,Alerta roya del café (Hemileia vastatrix),"La roya es la principal amenaza del café en Guatemala. Con esta humedad, busca manchas traslúcidas que se vuelven amarillo-anaranjadas en el envés de las hojas. Si encuentras síntomas en más del 5% de las hojas, aplica fungicida cúprico o sistémico de inmediato. No esperes.",World Coffee Research / ANACAFE
Cafe,humedad,alto,70.0,,advertencia,,Monitoreo de roya y ojo de gallo,"Condiciones favorables para roya y ojo de gallo (Mycena citricolor). Revisa las hojas cada 3 días, especialmente en el tercio inferior de la planta. Aplica cobre preventivo antes de que aparezcan síntomas si llevan 3 días con más de 70% de humedad.",ANACAFE Guatemala
Cafe,temperatura,alto,26.0,,advertencia,,Broca del café (Hypothenemus hampei),"Calor moderado con baja humedad favorece a la broca. Revisa los frutos maduros buscando un agujero pequeño en la corona. Si encuentras más del 5% de granos brocados, coloca trampas con alcohol etílico al 3% y metanol 1:1. Recoge y destruye los frutos brocados.",ANACAFE Guatemala
